DUT,Bin,Site,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
DUT,Bin,Site,GL Continuity,GH Continuity,SMOD Continuity,DISB Continuity,NC Continuity,VIN Continuity,PHASE Continuity,SW Continuity,BOOT Continuity,VCIN Continuity,PWM Continuity,THDN Continuity,VDRV_Continuity,PRE_UIL_IDSS,PEAK_ID,BV_AVALANCHE,POST_UIL_IDSS,Boot_Diode_IR,Boot_SW,Boot_Diode_VF,PRE_I_VDRV,PRE_I_VCIN,PRE_I_VIN,PRE_I_SMOD,PRE_I_THDN,PRE_I_PWM,PRE_I_DISB,AMR_I_VDRV,AMR_I_VCIN,AMR_I_VIN,AMR_I_SMOD,AMR_I_THDN,AMR_I_PWM,AMR_I_DISB,POST_I_VDRV,POST_I_VCIN,POST_I_VIN,POST_I_SMOD,POST_I_THDN,POST_I_PWM,POST_I_DISB,DELTA_I_VDRV,DELTA_I_VCIN,DELTA_I_VIN,DELTA_I_SMOD,DELTA_I_THDN,DELTA_I_PWM,DELTA_I_DISB,SW_PSD000,SW_PSD010,SW_PSD110,SW_PSD100,SW_PSD001,SW_PSD011,SW_PSD101,SW_PSD111,SW_PSDx11,SW_PSDx01,SW_PSD000,PWM_FLOAT,I_PWM_HI,I_PWM_LO,PWMSrcRes,PWMSnkRes,PWM_TRI_LO_GH,PWM_TRI_LO_GL,PWM_VIH_GH,PWM_VIH_GL,PWM_TRI_HI_GH,PWM_TRI_HI_GL,PWM_VIL_GH,PWM_VIL_GL,SMOD_FLOAT,SMOD_ON,SMOD_OFF,I_SMOD_HI,I_SMOD_LO,DISB_FLOAT,DISB_ON,DISB_OFF,I_DISB_HI,I_DISB_LO,IQ_PSD000_VCIN,IQ_PSD000_VDRV,IQ_PSD000_VIN,IQ_PSD010_VCIN,IQ_PSD010_VDRV,IQ_PSD010_VIN,IQ_PSD011_VCIN,IQ_PSD011_VDRV,IQ_PSD011_VIN,IQ_PSD101_VCIN,IQ_PSD101_VDRV,IQ_PSD101_VIN,IQ_PSD111_VCIN,IQ_PSD111_VDRV,IQ_PSD111_VIN,IQ_PSDX11_VCIN,IQ_PSDX11_VDRV,IQ_PSDX11_VIN,UVLO_UP,UVLO_DN,UVLO_HYS,LdrvSource,LdrvSink,HdrvSource,HdrvSink,HS_Vgsth,HSFET_VSD,HSFET_IDSS,HSFET_IDON,HSFET_RDSON,LS_Vgsth,LSFET_VSD,LSFET_IDSS,LSFET_IDON,LSFET_RDSON,Tr_gh,Tf_gh,Td_deadon,Tpd_plghl,Tpd_phghh,Tpd_tsghh,Tr_gl,Tf_gl,T_ZCD_min,Tpd_phgll,Tpd_tsglh,Td_holdoff,Tpd_disbl,Tpd_disbh,Tpd_slgll,Tpd_shglh,Tdeadoff,Tdeadon,IQ_VIN_1000F_5,IQ_VIN_1000F_5_5,IQ_VIN_1000F_6,IQ_VIN_Ratio_5V_6V,POST_I_VDRV,POST_I_VCIN,POST_I_VIN,POST_I_SMOD,POST_I_THDN,POST_I_PWM,POST_I_DISB,DELTA_I_VDRV,DELTA_I_VCIN,DELTA_I_VIN,DELTA_I_SMOD,DELTA_I_THDN,DELTA_I_PWM,DELTA_I_DISB
1,3,0,-0.526593,-0.000234515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1,-0.526518,-0.000197036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,-0.526493,-0.000197036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,-0.526556,-0.000234515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,-0.526481,-0.000184543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,1,-0.526431,-0.000247008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,-0.527,-0.524,-0.549,-0.547,-4.093,-0.512,-0.211,-0.161,-0.54,-0.532,-0.547,-0.653,-0.55,0.004,10.372,35.872,0.012,-0.3041,0.65417,729.23,2.115,0.569,0.599,-0.002,76.683,9.507,11.26,2.608,0.636,1.536,-0.002,96.517,11.257,12.201,0.243,0.57,0.523,-0.003,76.683,9.554,11.264,1.873,0,0.076,0.001,-0.001,-0.047,-0.004,1,1,1,1.001,1.002,0,12.004,12.004,1.002,1,1.001,2.326,249.254,-251.076,19.912,17.323,1.001,0,12.004,0,1.002,0,0,5,2.918,5,0,-1.375,-5.308,-0.323,5,0,10.796,-0.032,0.142,-0.000249,0.00131,0.059,0.003313,0.001277,0.572,-0.002207,-0.000002,0.492,0.01,0.000726,0.377,-0.000399,0.641,0.325,0.000808,0.000064,3.165,2.864,301.043,1.135,0.407,0.962,0.774,1.111,0.835,6.142,30.201,4.227,1.304,0.736,11.2,29.987,0.992,10.94,6.12,26.659,16.238,27.653,26.849,35.1,14.723,500,28.378,16.656,177.806,218.063,512.497,1606.836,15.307,11.005,16.984,81.661,82.094,82.309,100.793,1.818,0.567,0.162,-0.003,76.606,9.491,11.333,-0.297,-0.002,-0.437,-0.001,-0.076,-0.016,0.073
8,1,1,-0.515,-0.521,-0.548,-0.546,-4.1,-0.475,-0.215,-0.165,-0.537,-0.532,-0.547,-0.653,-0.553,0.005,10.363,35.869,0.014,-0.25293,0.94855,724.72,2.302,0.586,0.978,0,82.418,10.665,10.958,2.857,0.655,1.833,-0.001,103.782,12.84,11.846,0.269,0.586,0.816,0.002,82.415,10.619,10.959,2.033,0,0.161,-0.002,0.003,0.047,-0.001,1,1,1,1.001,1.002,0.001,12,11.999,1.003,1.003,1.004,2.329,264.39,-254.304,19.658,17.144,1.001,0,11.999,0,1.003,0,0.002,5.002,2.95,5.001,0,-1.574,-5.948,-0.332,5.001,0,10.542,-0.018,0.144,0.001958,0.001672,0.061,0.003736,0.00177,0.589,-0.001315,0.00118,0.509,0.01,0.001364,0.396,0.002656,0.679,0.339,0.000143,0.001246,3.253,2.913,339.571,1.156,0.379,0.986,0.765,0.991,0.833,5.758,30.142,4.222,1.264,0.745,11,29.971,0.991,12.02,5.678,26.622,16.891,27.275,26.27,36.077,8.555,500,27.68,17,172.839,213.357,498.206,1741.108,15.712,11.857,18.564,78.701,79.09,79.374,100.854,2.428,0.585,0.721,0.002,82.327,10.634,11.026,0.126,-0.001,-0.257,0.002,-0.091,-0.031,0.067
9,1,0,-0.525,-0.527,-0.553,-0.55,-4.093,-0.514,-0.21,-0.159,-0.536,-0.536,-0.551,-0.653,-0.557,0.003,10.369,35.112,0.011,-0.23751,0.73238,724.43,2.199,0.588,0.869,0,82.423,10.71,11.285,2.626,0.658,1.813,-0.002,103.844,12.663,12.199,0.218,0.588,0.415,-0.002,82.419,10.772,11.287,1.981,0,0.454,0.002,0.004,-0.062,-0.002,1,1,1,1,1.002,0,12.005,12.005,1.003,1.002,1.002,2.337,262.692,-257.311,19.43,17.049,1,0,12.005,0,1.001,0,0,5,2.945,5,0,-1.58,-6.033,-0.324,5,0,10.838,-0.027,0.145,-0.000534,0.00072,0.061,0.003973,0.000621,0.591,-0.002595,0.000687,0.511,0.01,0.000529,0.394,0.00077,0.663,0.338,0.000145,0.000195,3.231,2.904,326.963,1.166,0.409,0.98,0.77,0.895,0.828,5.012,30.197,4.111,1.212,0.727,12,29.987,0.945,10.918,5.929,27.054,16.473,28.095,27.287,36.608,15.1,500,28.56,16.737,175.69,209.631,501.735,1791.473,15.575,11.363,16.5,81.694,82.174,82.576,101.08,2.305,0.587,0.477,-0.002,82.337,10.819,11.353,0.105,-0.001,-0.391,-0.002,-0.086,0.109,0.068
