
DUT 1:
Test #1: 41,
Test #2: 67,
Test #3: 34,
Test #4: 0,
Test #5: 69,
Test #6: 24,
Test #7: 78,
Test #8: 58,
Test #9: 62,
Test #10: 64,

DUT 2:
Test #1: 5,
Test #2: 45,
Test #3: 81,
Test #4: 27,
Test #5: 61,
Test #6: 91,
Test #7: 95,
Test #8: 42,
Test #9: 27,
Test #10: 36,

DUT 3:
Test #1: 91,
Test #2: 4,
Test #3: 2,
Test #4: 53,
Test #5: 92,
Test #6: 82,
Test #7: 21,
Test #8: 16,
Test #9: 18,
Test #10: 95,

DUT 4:
Test #1: 47,
Test #2: 26,
Test #3: 71,
Test #4: 38,
Test #5: 69,
Test #6: 12,
Test #7: 67,
Test #8: 99,
Test #9: 35,
Test #10: 94,

DUT 5:
Test #1: 3,
Test #2: 11,
Test #3: 22,
Test #4: 33,
Test #5: 73,
Test #6: 64,
Test #7: 41,
Test #8: 11,
Test #9: 53,
Test #10: 68,
